,original_title,overview,region_final,release_date,genre_final,cast_final,director
3734,The Crying Game,"Irish Republican Army member Fergus (Stephen Rea) forms an unexpected bond with Jody (Forest Whitaker), a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude (Miranda Richardson) and Maguire (Adrian Dunbar). Jody makes Fergus promise he'll visit his girlfriend, Dil (Jaye Davidson), in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",Japan,1992-09-02,Romance,"['Fergus', 'Dil', 'Jude', 'Jody', 'Maguire', 'Col', 'Dave', 'Deveroux', 'Tommy', 'Tinker', 'Eddie', 'Bar Performer 1', 'Bar Performer 2', 'Judge', 'Security Man 1', 'Security Man 2', 'Franknum', 'Jane']",
3735,Porky's,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",United States of America,1981-11-13,Comedy,"['Pee Wee', 'Billy', 'Tommy', 'Tim', 'Wendy', 'Honeywell', 'Meat', 'Ted Jarvis', 'Coach Warren', 'Cherry Forever', 'Balbricker', 'Sheriff Wallace', 'Micky', 'Brian Schwartz', 'Coach Brackett', 'Cavanaugh', 'Porky', 'Mr. Carter', 'Coach Goodenough', 'Conklin', 'Frank', 'Steve', 'Jackie', 'Cop no. 1', 'Cop no. 2', 'Bartender', ""Ted's Partner"", 'Bouncer no. 2', 'Deputy no. 2', 'Mrs. Morris', 'Mindy', 'Stripper', 'Miss Walker', 'Waitress', 'Mule Train Driver', 'Deputy no. 1', 'Bouncer no. 1', 'Bouncer no. 3', 'Ginny', 'Girl in Shower', 'Markin Highpockets', 'Radio Announcer', 'Cheerleader (uncredited)', ""Piano Player at Porky's (uncredited)""]",
3736,Survival of the Dead,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",Canada,2010-05-06,Horror,"['Sarge Nicotine Crockett', ""Patrick O'Flynn"", ""Janet / Jane O'Flynn"", 'Boy', 'Seamus Muldoon', 'Tomboy', 'Francisco', 'James']",
3737,Night of the Living Dead,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype.",United States of America,1968-10-01,Horror,"['Ben', 'Barbra', 'Harry Cooper', 'Helen Cooper', 'Tom', 'Judy', 'Karen Cooper', 'Newscaster / Zombie', 'Cemetery Zombie', 'Field Reporter', 'Washington Reporter', 'Johnny', 'Washington Military Reporter']",
3738,Lost in Translation,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",Japan,2003-08-31,Drama,"['Bob Harris', 'Charlotte', 'Kelly', 'John', 'Ms. Kawasaki', 'Press Agent', 'Press Agent', 'Press Agent', 'Charlie', 'Hiroko', 'Bambie', 'Jazz Singer', 'Commercial Director', 'P Chan', 'Sausalito Piano', 'American Businessman #1', 'Ikebana Instructor', 'Doctor', 'TV Host', 'Sexy Businesswoman', 'Lydia Harris (voice) (uncredited)', 'Hospital Receptionist']",
3739,Annie Hall,"In the city of New York, comedian Alvy Singer falls in love with the ditsy Annie Hall.",United States of America,1977-04-19,Comedy,"['Alvy Singer', 'Annie Hall', 'Rob', 'Allison', 'Tony Lacey', 'Pam', 'Robin', 'Mrs. Hall', 'Duane Hall', 'Dad Hall', 'Man in Theatre Line', 'Dick Cavett', 'Marshall McLuhan', ""Actress in Rob's TV Show"", ""Actor in Rob's TV Show"", ""Alvy's Date Outside Theatre"", ""Tony Lacey's Girlfriend"", 'Navy Officer', 'Actor Boy Friend', 'L.A. Policeman', 'Lacey Party Guest', 'Street Stranger', 'Street Stranger', 'Lacey Party Guest', 'Man at Health Food Restaurant', ""Annie's Date Outside Theatre"", 'Joey Nichols (as Hy Ansel)', ""Alvy's Dad"", ""Alvy's Mom (as Joan Newman)"", 'Alvy - Age 9', 'Grammy Hall', ""Alvy's Aunt"", ""Alvy's Uncle"", 'Aunt Tessie', ""Alvy's Psychiatrist"", ""Annie's Psychiatrist"", 'Janet', 'Miss Reed', 'Dorrie', 'Coke Fiend', 'Doctor', 'Comedian at Rally', 'Maharishi', 'Comic', ""Comic's Agent"", 'Truman Capote Look-Alike (uncredited)', 'College Audience (uncredited)', 'Usher (uncredited)']",
3740,The Greatest Show on Earth,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",United States of America,1952-01-10,Action,"['Holly', 'The Great Sebastian', 'Brad Braden', 'Phyllis', 'Angel', 'FBI Agent Gregory', 'Klaus', 'Mr. Henderson', 'Buttons', 'Himself', 'Birdie', 'Doctor', ""Buttons' mother"", ""Sam's Wife (uncredited)"", 'Himself', 'Himself (clown)', 'Spectator (uncredited)', 'Harry', 'Assistant Manager', 'Little Girl Spectator (uncredited)', 'Little Boy Spectator (uncredited)', 'Canvas Man (uncredited)', 'Spectator (uncredited)', 'Spectator (uncredited)', 'Hopalong Cassidy (uncredited)', 'Dave (uncredited)', 'Spectator (uncredited)', 'Narrator (voice) (uncredited)', 'Spectator (uncredited)', 'Spectator (uncredited)', 'Noel (uncredited)', 'Midway Barker at End (uncredited)', 'Circus Barker (uncredited)']",
3741,Monster's Ball,"Set in the southern USA, a racist white man, Hank, falls in love with a black woman named Leticia. Ironically, Hank is a prison guard working on Death Row who executed Leticia's husband. Hank and Leticia's inter-racial affair leads to confusion and new ideas for the two unlikely lovers.",United States of America,2001-11-11,Drama,"['Leticia Musgrove', 'Hank Grotowski', 'Sonny Grotowski', 'Lawrence Musgrove', 'Tyrell Musgrove', 'Buck Grotowski', 'Lucille', 'Betty', 'Vera', 'Ryrus Cooper', 'Darryl Cooper', 'Willie Cooper', 'Dappa Smith', 'Georgia Ann Paynes', 'Harvey Shoonmaker', 'Phil Huggins', 'Tommy Roulaine', 'Deputy Jones']",
3742,Maggie,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",Switzerland,2015-05-08,Horror,"['Wade Vogel', 'Maggie Vogel', 'Caroline', 'Ray', 'Holt', 'Bonnie', 'Dr. Kaplan', 'Trent', 'Allie', 'Bobby', 'Molly', 'Security Officer', 'Woman in Scrubs', 'Lauretta', 'Doctor', 'Mason', 'Nurse', 'Nadine', 'Holly', 'Barbara', 'Candace', 'Hospital Soldier', 'Frightened Woman', 'Ken', 'Soldier #1', 'Linda']",
3743,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",United States of America,1995-10-27,Drama,"['Ben Sanderson', 'Sera', 'Yuri', 'Peter', 'Marc Nussbaum', 'Sheila', 'Debbie', 'Man At Bar', 'Terri', 'L.A. Bartender', 'Hooker at bar', 'Landlady', 'Biker Girl', 'Hotel Manager']",
3744,Hansel and Gretel Get Baked,"An intense new marijuana strain named “Black Forest” is taking Los Angeles by storm, and Gretel’s stoner boyfriend can’t get enough. But when the old woman growing the popular drug (Lara Flynn Boyle) turns out to be an evil witch, cooking and eating her wasted patrons for their youth, Gretel and her brother Hansel must save him from a gruesome death — or face the last high of their lives.",United States of America,2013-02-19,Horror,"['Gretel', 'Hansel', 'Agnes/The Witch', 'The Meter Man', 'Officer Ritter', 'Officer Hart', 'Bianca']",
3745,The Front Page,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.,United States of America,1974-12-01,Romance,"['Hildebrand Johnson', 'Walter Burns/Otto Fishbine', 'Peggy Grant', ""'Honest Pete' Hartman Sheriff of Clark County"", 'Roy Bensinger of the Tribune', 'Kruger', 'Earl Williams', 'Murphy', 'Schwartz', 'Dr. Max J. Eggelhofer', 'The Mayor/Herbie/Green Hornet', 'Officer Jacobi', 'McHugh', 'Rudy Keppler of the Chicago Examiner', 'Mollie Malloy', 'Plunkett', 'Telegrapher', 'Myrtle', 'Police Dispatcher', 'Endicott', 'Jennie', 'Wilson', 'Cab Driver']",
3746,The Boy Next Door,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",United States of America,2015-01-23,Thriller,"['Claire Peterson', 'Noah Sandborn', 'Kevin Peterson', 'Garrett Peterson', 'Vicky Lansing', 'Principal Edward Warren', 'Allie Callahan', 'Detective Johnny Chou', 'Benny', 'Barbara', 'Bob Sandborn', 'Jason Zimmer', 'Mr. Avenido', 'Ethan', 'Couper', 'Rachel', 'Chad the Bully', 'Paramedic', 'Forrest the Bully']",
3747,Trapeze,"A pair of men try to perform the dangerous ""triple"" in their trapeze act. Problems arise when the duo is made into a trio following the addition of a sexy female performer.",United States of America,1956-05-30,Drama,"['Mike Ribble', 'Tino Orsini', 'Lola', 'Rosa', 'Bouglione', 'Max (dwarf)', 'John Ringling North', 'Chikki', 'Otto', 'Snake Charmer', 'Circus family children', 'Specialty Act', 'Stefan', 'Paul', '3rd partner of Lola']",
3748,The Kids Are All Right,"Two women, Nic and Jules, brought a son and daughter into the world through artificial insemination. When one of their children reaches age, both kids go behind their mothers' backs to meet with the donor. Life becomes so much more interesting when the father, two mothers and children start to become attached to each other.",United States of America,2010-07-09,Comedy,"['Jules', 'Nic', 'Paul', 'Joni', 'Laser', 'Tanya', 'Sophia', 'Jai', 'Clay', 'Luis', 'Brooke', 'Stella', 'Joel', 'Waify Girl', ""Clay's Dad (as James Macdonald)"", 'Bartender']",
3749,They Live,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.",United States of America,1988-11-23,Action,"['Nada', 'Frank', 'Holly', 'Drifter', 'Gilbert', 'Street Preacher', 'Family Man', 'Bearded Man', 'Brown Haired Woman', 'Black Revolutionary', ""Family Man's Daughter"", 'Female Interviewer', 'Ingenue', 'Foreman', 'Black Junkie', 'Well Dressed Customer', 'Rich Lady', 'Depressed Human', 'Arab Clerk', 'Blonde Haired Cop', 'Neighbor', 'Biker', 'Scruffy Blonde Man', 'Passageway Guard', 'Passageway Guard #2', 'Manager', 'Male News Anchor', 'Female News Anchor', 'Young Female Executive', 'Woman on Phone', 'Pregnant Secretary', 'Security Guard #2', '2nd Unit Guard', 'Naked Lady', 'Male Ghoul', 'Female Ghoul', 'Security Guard #1', 'Vendor', 'Homeless kid (uncredited)', 'Teenage Girl (uncredited)', 'Ghoul at Bar (uncredited)', 'TV Technician (uncredited)', 'Woman at the Dinner Party (uncredited)', 'Asian Revolutionary (uncredited)', 'Male Ghoulie (uncredited)', 'Police Officer (uncredited)', 'Dave - Resistance Fighter (uncredited)']",
3750,The Great Escape,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocates them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",United States of America,1963-06-20,Adventure,"['Captain Hilts', 'Flight Lt. Hendley', 'Roger Bartlett', 'Group Capt. Ramsey ""The SBO""', 'Flight Lt. Danny Velinski', 'Flight Lt. Colin Blythe ""The Forger""', 'Flying Officer Louis Sedgwick ""The Manufacturer""', 'Kommandant von Luger', 'Lt. Cmdr. Eric Ashley-Pitt ""Dispersal""', 'Flight Lt. Sandy MacDonald ""Intelligence""', 'Flight Lt. William Dickes ""The Tunneler""', 'Flying Officer Archibald Ives ""The Mole""', 'Flight Lt. Denys Cavendish ""The Surveyor""', ""Werner 'The Ferret'"", 'Goff', 'Herr Kuhn', 'Stratwitch', 'Sorren', 'Capt. Posen', 'Preissen', 'Lt. Dietrich', ""Griffith 'Tailor'"", 'Frick', 'Kramer', ""Dai Nimmo ('Diversions')"", 'S.S. Officer Steinach', ""Haynes ('Diversions')""]",
3751,What the #$*! Do We (K)now!?,"Amanda (Marlee Maitlin) is a divorced woman who makes a living as a photographer. During the Fall of the year Amanda begins to see the world in new and different ways when she begins to question her role in life, her relationships with her career and men and what it all means. As the layers to her everyday experiences fall away insertions in the story with scientists, and philosophers and religious leaders impart information directly to an off-screen interviewer about academic issues, and Amanda begins to understand the basis to the quantum world beneath. During her epiphany as she considers the Great Questions raised by the host of inserted thinkers, Amanda slowly comprehends the various inspirations and begins to see the world in a new way.",United States of America,2004-04-23,Documentary,"['Lead', 'Jennifer', 'Bob', 'Elliot', 'Reggie']",
3752,The Last Exorcism Part II,"As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",United States of America,2013-02-28,Horror,"['Nell Sweetzer', 'Gwen', 'Doctor', 'Chris', 'Jared', 'Frank', 'Steph']",
3753,Boyhood,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",United States of America,2014-06-05,Drama,"['Mason', 'Mom', 'Dad', 'Tommy', 'Samantha', 'Ted', 'Teacher', 'Elementary School Girl', 'Grandma', 'Professor Bill Welbrock', 'Mindy', 'Randy', 'Neighborhood Friend #1', 'Neighborhood Friend #2', 'Paul', 'Book Trivia Judge', 'Book Release Emcee', 'Jimmy', 'Barber', ""Mason's 4th Grade Teacher"", 'Liquor Store Clerk', 'Carol', 'Lee', 'Abby', 'Kenny', 'Mrs. Darby', 'No Obama Man', 'Obama Mama', 'Tammy', 'Tony', 'Bully 1', 'Bully 2', 'Jill', 'Jim', 'College Girl Singer', 'Gabi', 'Chase', 'Charlie', ""Charlie's Friend"", 'Professor Douglas', 'Make Out Girl', 'Annie', 'Cooper', 'Ernesto', 'Grandpa Cliff', 'Nana', 'Pastor', 'Mr. Turlington', 'Nick', 'Beer Pong Guy', 'High School Band Singer', 'Sheena', 'April', ""Mason's Boss"", ""Sam's College Boyfriend"", 'Hooper', 'Guitar Player', 'Beat Box', 'Band Member 1', 'Band Member 2', 'Band Member 3', 'Band Member 4', 'Guy in Diner', ""Sam's Roommate"", 'High School Teacher', 'Uncle Steve', 'Twin Cousin 1', 'Twin Cousin 2', 'Woman at Party', ""Jimmy's Bandmate 1"", ""Jimmy's Bandmate 2"", ""Jimmy's Bandmate 3"", 'Dalton', 'Barb', 'Nicole', 'College Student (uncredited)', 'Late Night Restaurant Patron (uncredited)', 'Parent (uncredited)', 'Dinner Guest (uncredited)', 'College Student (uncredited)', 'Dinner Guest (uncredited)']",
